noBarang;(No column name)
0089686000061;1
0089686400861;1
0089686401745;1
0089686420029;1
0089686923117;1
053314502210;2
053314502234;5
0711844120082;1
0711844120105;2
0711844330146;1
0726165101061;1
0749921000569;1
089686010107;5
089686010527;8
089686010947;13
089686017748;1
089686023077;3
089686023770;2
089686043204;3
089686043419;3
089686043433;2
089686048704;1
089686049121;1
089686060003;1
089686060126;1
089686386189;1
089686400427;1
089686400465;1
089686420425;1
089686535044;1
089686535259;1
089686598599;1
089686599008;1
089686611519;1
089686611670;1
089686729016;1
089686910384;3
089686910704;2
089686923124;1
10170;1
10200;1
10225;2
10259;1
102601;4
10272;1
10376;1
10384;1
10434;1
10456;2
10481;1
10585;2
10742;1
10774;1
10783;1
10907;6
10908;3
10958;1
11242;22
11279;2
11775;1
12032;1
12122;1
12254;1
12306;4
12363;1
12389;5
12411;3
12513;1
1252010002003;1
12551;1
12559;1
12800;1
12862;1
12928;1
12957;1
12992;2
13103;2
1311;12
1312;3
13186;1
13198;2
13223;1
13245;1
13285;2
13418;3
13442;1
13463;1
13503;1
13518;1
13605;1
13618;1
13639;1
13667;1
13675;1
13691;1
13760;1
13832;1
13925;4
13933;1
13955;1
14065;1
14066;2
14067;1
1413;1
14138;1
14163;1
14178;5
14219;1
14227;1
14261;1
14268;1
14272;1
14333;1
14339;1
1811;15
2115;2
2212;4
2222;7
2225;2
4800361347594;1
4891228430078;1
4902430102247;1
4902430429405;1
4902430563949;1
4902430566988;1
4902430693370;1
4902430832748;1
4987176053053;1
4987176074423;1
4987176076663;1
4987176078162;1
4987176109262;1
4987176110725;1
4987176143396;1
4987176180841;1
5102121588810;1
5113;1
648436121472;1
653314503561;1
6902395717881;1
6913362805050;1
6913362886660;1
6922130105100;3
6930662050867;1
6941845808656;1
6971486425530;1
6971486428647;1
6974180093050;1
6974686480743;1
6975845764315;1
711844110083;1
711844110113;1
711844110755;1
711844162419;1
711844330016;1
76164217;2
7622201430092;3
7622201430153;1
7622210462534;1
7622210515278;2
7622210551733;1
7622300065201;1
76239878;1
800142384194;1
800142384385;1
800142384538;1
80974482;3
8715;1
8719200170995;4
8809296885801;1
8850169515226;1
8850507000018;2
8850507002913;1
8850507002968;1
8851019210193;1
8851028004752;1
8851932406789;1
8851932424172;1
8852008510072;2
8853301550048;1
88820293;1
8885013130058;3
8885013130201;1
8885013130546;1
8885013130577;2
8885013130645;1
8885013130775;2
8885013131376;1
8885013131536;1
8885013131710;3
8885013131765;1
8885013131857;1
8885013131864;3
8885013131970;2
8885013131987;2
8885013132083;1
8885013132144;1
8886012800218;1
8886013213208;5
8886013221203;1
8886013366485;1
8886013402206;2
8886030229954;1
8886030422676;1
8886030425905;1
8886030890925;1
8886030941924;1
8886052851188;1
8886052854189;1
8886052911288;1
8886467100017;1
8887229014306;1
8888103004352;1
8888103006820;1
8888166222090;1
8888166321106;3
8888166341036;1
8888166603417;1
8888166604827;1
8888327121019;1
8888826016564;1
8901526530113;1
8901526539567;1
8901526540068;3
8906008420265;1
8934868015024;4
896865350516;3
8990011998880;1
8990052000412;1
8990090100167;1
8990333822849;2
8990333822870;1
8990800004563;1
8990800022574;1
8990800024042;1
8991001113023;1
8991001121400;1
8991001242013;3
8991001242570;1
8991001663344;1
8991001780140;1
8991001780225;1
8991002109155;2
8991002115101;1
8991002115149;2
8991002121010;1
8991002330504;1
8991038110514;1
8991038773344;1
8991038773351;1
8991038773573;1
8991038774570;3
8991038775553;1
8991102022460;2
8991102100748;1
8991102987639;1
8991111101989;1
8991111103082;3
8991111153070;1
8991111153094;1
8991115011109;1
8991115012106;1
8991188943536;1
8991380700036;1
8991906101026;1
8991906101057;1
8991906105758;1
8991906108896;1
8991916101016;1
8991991594062;1
8992222055499;1
8992222055864;1
8992222071451;1
8992222071871;1
8992222091534;1
8992222320139;1
8992304009204;1
8992628510158;3
8992694247255;2
8992694247408;1
8992696404441;2
8992696407619;1
8992696407671;1
8992696422735;2
8992696423749;1
8992696424777;1
8992696426559;1
8992696427341;1
8992696428577;1
8992696521797;1
8992696523067 ;1
8992696523081;1
8992696523937;1
8992696525054;1
8992702000018;2
8992702000025;2
8992702005945;2
8992716109561;1
8992717781025;1
8992717822209;1
8992717900266;1
8992717900297;1
8992726826083;1
8992726939028;2
8992727002561;1
8992727003858;1
8992727003865;1
8992727003872;1
8992727005005;1
8992727005371;1
8992727005395;2
8992727005432;2
8992727006194;1
8992727006491;1
8992727007306;2
8992727008129;1
8992727008419;1
8992736925165;1
8992741902250;1
8992741902922;6
8992741903004;1
8992741904100;3
8992741904148;1
8992741904988;1
8992741905466;1
8992741905664;2
8992741905800;5
8992741905909;3
8992741906203;1
8992741906227;3
8992741906746;2
8992741906784;2
8992741907040;1
8992741907231;2
8992741940009;4
8992741941334;1
8992741941365;1
8992741945004;1
8992741945240;1
8992741981903;1
8992745120186;2
8992745120254;2
8992745545088;1
8992745550396;1
8992745550440;1
8992745550518;2
8992745550525;1
8992745560586;3
8992745560609;1
8992745610885;1
8992745610892;1
8992745999980;1
8992745999997;1
8992747180225;1
8992752112013;2
8992753033737;1
8992753101207;1
8992753182008;1
8992753182206;2
8992753184200;1
8992753722181;1
8992758110563;1
8992759124347;4
8992759124354;2
8992759170580;4
8992759184013;2
8992761002039;1
8992761111687;1
8992761147143;1
8992761164539;1
8992770011060;1
8992770011091;1
8992770011169;1
8992770033130;1
8992770054067;1
8992770088895;1
8992770094117;3
8992770094216;1
8992772193054;1
8992772198059;1
8992772401012;1
8992772485029;1
8992772586023;2
8992775001011;1
8992775002919;2
8992775204009;1
8992775717004;1
8992775717011;3
8992779272301;1
8992802064019;1
8992802075022;1
8992802080019;1
8992802080026;1
8992802091046;1
8992802105033;1
8992802120029;1
8992802180016;1
8992802180160;1
8992821100026;1
8992821100729;1
8992832601505;1
8992832603066;1
8992832604148;1
8992839006341;1
8992839300029;1
8992839913083;1
8992856897731;1
8992856900820;1
8992856902091;1
8992870712133;1
8992903123462;2
8992928061008;1
8992928062081;1
8992929140009;1
8992929413240;1
8992929722533;2
8992929722557;1
8992931005228;5
8992933211115;2
8992933214116;2
8992933411119;2
8992946512285;2
8992946513282;1
8992946519345;1
8992946519383;1
8992946519390;1
8992946521409;1
8992946521829;1
8992946521836;1
8992946522239;1
8992946523540;1
8992946523564;2
8992946531408;1
8992952922023;1
8992952925192;1
8992952925307;1
8992952925314;1
8992952950125;2
8992952954093;1
8992952954123;1
8992957220025;3
8992957221367;2
8992957251487;1
8992957352047;1
8992957354478;1
8992959508299;1
8992959508695;2
8992959508879;1
8992959953129;1
8992959953167;2
8992959953303;1
8992959957585;1
8992959971291;1
8992959974155;1
8992959975084;1
8992982206001;3
8992982401673;1
8992984821752;1
8992984831720;1
8992994110112;5
8992994110143;3
8993005123015;1
8993007001632;1
8993007003902;1
8993039112504;1
8993039242614;1
8993053121407;6
8993053131239;2
8993053411010;2
8993053641097;1
8993058105013;2
8993058300807;1
8993058305208;1
8993058306304;1
8993093135006;1
8993093665091;1
8993110071508;5
8993137576024;1
8993137688628;1
8993137692724;1
8993137702935;1
8993137705394;1
8993137705950;1
8993137710336;1
8993137711692;1
8993137712224;1
8993137723756;1
8993172000522;1
8993175539210;3
8993175548182;1
8993175549318;1
8993175556057;1
8993175558037;1
8993176721928;1
8993188111120;3
8993189270307;1
8993189270314;1
8993189270826;1
8993189270857;1
8993189272134;1
8993189272165;1
8993189272356;1
8993189272394;1
8993189272677;1
8993189273155;1
8993189273179;1
8993189273186;2
8993189328862;1
8993189329586;1
8993189380082;1
8993200345717;3
8993200347315;2
8993200348312;1
8993200666805;1
8993200666836;1
8993200667215;1
8993200668076;1
8993200668243;3
8993200668496;1
8993200668984;1
8993207130057;1
8993207150444;1
8993207900049;1
8993296301116;1
8993351160757;1
8993417006036;1
8993417113215;1
8993417165238;2
8993417200014;1
8993417212215;1
8993417229619;1
8993463101112;2
8993463101433;2
8993496110075;1
8993500350084;1
8993560025083;1
8993560033309;1
8993560033743;1
8993560156619;1
8994064110374;1
8994064110381;2
8994064110404;1
8994064112002;1
8994125000125;1
8994171101289;1
8994297101279;1
8994297101446;1
8994305101017;1
8994504116515;1
8994504122134;1
8994504122332;1
8994755020357;1
8994834001192;1
8994834006135;1
8995026801033;1
8995027903538;1
8995028201985;1
8995077600814;1
8995077602498;2
8995077606489;1
8995077609770;1
8995102702056;2
8995102702155;1
8995102702629;1
8995102703909;1
8995102708072;2
8995102708102;1
8995154100633;1
8995154800366;1
8995202300060;1
8995202300077;3
8995952008230;1
8996001300053;2
8996001301142;2
8996001304549;1
8996001304990;2
8996001305003;2
8996001305041;1
8996001305072;1
8996001305119;2
8996001305249;2
8996001307694;1
8996001307847;2
8996001313619;1
8996001317037;5
8996001350829;2
8996001351888;2
8996001354001;1
8996001354124;2
8996001355046;1
8996001401194;1
8996001401224;2
8996001401231;1
8996001401248;1
8996001414002;3
8996001520420;1
8996001523223;1
8996001523230;1
8996001600146;5
8996001600269;3
8996001600399;1
8996001600696;1
8996006142511;1
8996006856715;3
8996006858245;1
8996168662780;1
8996196226855;1
8996200900047;1
8997001303747;1
8997002055713;1
8997004041844;1
8997004301665;1
8997004301726;1
8997005990448;1
8997005991070;1
8997008090145;1
8997008673027;1
8997008673287;1
8997008673294;1
8997008730652;1
8997009510055;4
8997009989981;1
8997011060104;2
8997011931107;1
8997011995826;1
8997012665070;1
8997013148688;1
8997014356570;1
8997014402888;1
8997014442389;1
8997014450216;1
8997014450421;1
8997014450445;2
8997014450452;1
8997015103241;1
8997016100355;1
8997016221517;1
8997016223108;1
8997016370369;1
8997016370383;1
8997016370390;1
8997016370413;1
8997016373919;1
8997016377757;1
8997016379386;1
8997017791699;1
8997018460150;1
8997021178011;10
8997021178882;1
8997021870137;1
8997021870151;1
8997021872889;1
8997021872926;1
8997023760016;3
8997024499007;1
8997025915124;1
8997025915254;1
8997027300010;2
8997027300089;3
8997028380080;1
8997028380622;1
8997028381278;1
8997028630017;1
8997028630079;1
8997031153336;1
8997032680275;3
8997032680299;1
8997032680947;3
8997032821272;1
8997032821418;1
8997033170140;1
8997035111110;1
8997035563414;3
8997035563544;2
8997050800860;1
8997050802178;1
8997050803885;1
8997204670332;1
8997207556992;1
8997213750193;1
8997213750308;1
8997214270324;1
8997214880837;1
8997214880899;1
8997214882749;2
8997215890040;1
8997220180112;1
8997224910043;1
8997224914812;1
8997225415271;1
8997226224520;1
8997226225459;1
8997233930209;1
8997233930360;1
8997233930674;1
8997236030012;1
8997236030180;1
8997236030197;1
8997238390084;1
8997238390121;1
8997238390183;1
8997238390664;1
8997238390671;1
8997238390701;1
8997241850148;1
8997878003139;1
8998009010224;2
8998009010231;1
8998009010613;2
8998009010620;1
8998009011047;1
8998009011696;1
8998009020186;2
8998009020216;1
8998009020506;1
8998009020520;4
8998009040023;2
8998009040313;1
8998103010762;1
8998103011868;1
8998103017525;1
8998127912370;1
8998183909062;1
8998225800012;7
8998288016634;1
8998288080512;1
8998288100050;1
8998288100340;1
8998288120928;1
8998667100084;1
8998667100206;2
8998667400283;1
8998685012000;1
8998685021002;1
8998685226018;1
8998694111107;3
8998694121137;1
8998778561057;1
8998824553227;1
8998866100700;1
8998866105149;2
8998866105156;2
8998866105781;2
8998866200301;2
8998866200745;1
8998866200790;1
8998866200837;1
8998866200844;1
8998866200912;1
8998866201377;1
8998866201469;1
8998866201490;1
8998866201636;2
8998866201667;1
8998866201827;1
8998866201841;1
8998866202053;1
8998866202343;1
8998866202558;1
8998866202626;1
8998866202671;1
8998866202893;3
8998866202923;3
8998866203104;1
8998866203272;1
8998866203401;1
8998866203579;1
8998866500708;1
8998866601436;1
8998866602389;1
8998866603058;1
8998866603065;1
8998866603409;2
8998866604758;1
8998866605144;1
8998866605809;1
8998866608718;1
8998866608732;2
8998866609166;1
8998866609180;1
8998866609494;1
8998866610087;1
8998866610261;2
8998866610377;1
8998866612258;1
8998866618304;2
8998866623988;1
8998866623995;2
8998866624329;1
8998866805353;1
8998866805391;3
8998866888622;1
8998888111517;1
8998898101409;1
8998899013077;1
8998899013121;1
8998899940397;1
8998989110167;2
8998989300261;1
8999099920462;2
8999099920509;1
8999099920547;5
8999099920561;1
8999099920585;1
8999099920707;3
8999099920714;2
8999099920721;1
8999099920752;2
8999099920998;1
8999225909842;1
8999225910589;1
8999225910756;1
8999338261783;1
8999777000042;1
8999777004163;1
8999777004552;1
8999777010591;1
8999777010638;1
8999777015596;2
8999777016784;2
8999809102829;1
8999809103796;1
8999809700025;1
8999809700049;4
8999898962533;2
8999908034908;1
8999908041401;1
8999908050205;1
8999908050304;1
8999908050403;1
8999908079602;2
8999908079800;1
8999908082800;1
8999908204202;3
8999908205506;1
8999908208309;1
8999908214805;1
8999908273000;2
8999908284907;1
8999908356505;2
8999908392800;2
8999908432506;1
8999908432605;1
8999908611208;1
8999908611307;1
8999908723802;1
8999908740106;2
8999908767004;1
8999908831903;1
8999908838001;1
8999908909206;3
8999908909404;1
8999908962706;2
8999909000377;2
8999909000544;2
8999909010567;2
8999909096004;9
8999918443509;1
8999988772868;2
8999988778822;2
8999988778860;4
8999988778976;1
8999988887111;1
8999988888811;2
8999988888972;1
8999999007799;1
8999999008475;1
8999999028701;1
8999999030179;1
8999999030186;1
8999999033125;2
8999999036348;1
8999999036355;1
8999999036492;1
8999999037765;3
8999999039233;1
8999999042387;2
8999999042592;1
8999999045913;1
8999999045920;1
8999999047207;1
8999999049454;1
8999999192150;1
8999999195649;1
8999999195656;1
8999999275440;1
8999999282196;1
8999999282202;4
8999999294021;2
8999999502409;1
8999999513757;1
8999999514518;1
8999999514617;2
8999999519872;1
8999999520885;2
8999999520892;1
8999999524814;2
8999999526252;1
8999999529673;1
8999999536244;1
8999999536596;1
8999999539450;1
8999999540357;1
8999999540456;1
8999999549503;1
8999999554897;1
8999999555450;1
8999999555481;1
8999999557447;1
8999999559540;1
8999999559601;2
8999999560720;1
8999999562397;1
8999999564162;1
8999999566654 ;1
8999999570385;1
8999999571825;1
8999999571856;1
8999999572730;1
8999999574376;2
8999999574802;2
8999999574819;2
8999999579074;2
8999999580735;1
8999999580773;1
8999999585297;2
8999999587499;1
8999999587758;3
8999999588090;2
8999999588908;1
8999999589189;1
8999999589912;1
8999999593223;3
8999999593384;1
8999999594077;2
8999999595876;1
8999999598044;3
8999999706081;1
8999999706111;1
8999999706180;2
8999999706487;1
8999999707859;1
8999999710873;2
8999999710880;1
9310079305892;1
9555050204966;1
9555143600019;1
9555233802521;1
9555233802545;2
9556001008633;1
9556006060223;1
9556023540913;1
9556023773144;1
9556085302757;1
9556174802212;1
9780201367546;1
